record_type,profile,source,source_seed,source_rank,region_index,theta_rad,theta_deg,uav_speed_mps,release_time_s,fuse_delay_s,burst_time_s,feasible,reason,valid_start_s,valid_end_s,intervals_s,duration_s,elapsed_seconds,iterations,function_evaluations,success,message,release_point_x_m,release_point_y_m,release_point_z_m,burst_point_x_m,burst_point_y_m,burst_point_z_m
final_population_candidate,standard,directed_de_population,20250821,9,1,0.132800135878,7.6088873046,105.0941846447,0.0142341831,0.8551589876,0.8693931706,True,,0.8693931706,20.8693931706,"[0.9514459369, 5.5352111159]",4.5837651789,,,,,,17801.4827582210,0.1980762808,1800.0000000000,17890.5636709492,12.0980715965,1796.4166452192
final_population_candidate,standard,directed_de_population,20250821,10,1,0.125972162811,7.2176732652,93.8265401062,0.1435011748,0.8545582456,0.9980594204,True,,0.9980594204,20.9980594204,"[1.0311836440, 5.6148249481]",4.5836413041,,,,,,17813.3575281880,1.6916343705,1800.0000000000,17892.9024229789,11.7654201885,1796.4216780041
region_center,standard,coarse_lhs,20250818,5384,2,3.105488749736,177.9313986852,111.2851253087,0.1477704952,3.1686793963,3.3164498915,True,,3.3164498915,23.3164498915,"[3.3164498915, 7.2675440021]",3.9510941106,40.658255,40,3012,True,Optimization terminated successfully.,17783.5660585027,0.5935873783,1800.0000000000,17431.1689729981,13.3220288257,1750.8014073291
directed_de_best,standard,directed_de_best,20250822,0,2,0.103436697315,5.9264862029,138.7915231228,0.2944979344,0.5391236072,0.8336215416,True,,0.8336215416,20.8336215416,"[0.8654688980, 5.4529023175]",4.5874334195,40.658255,40,3012,True,Optimization terminated successfully.,17840.6553542002,4.2203175841,1800.0000000000,17915.0812113884,11.9462557780,1798.5757941073
final_population_candidate,standard,directed_de_population,20250822,1,2,0.103436697315,5.9264862029,138.7915231228,0.2944979344,0.5391236072,0.8336215416,True,,0.8336215416,20.8336215416,"[0.8654688980, 5.4529023175]",4.5874334195,,,,,,17840.6553542002,4.2203175841,1800.0000000000,17915.0812113884,11.9462557780,1798.5757941073
final_population_candidate,standard,directed_de_population,20250822,2,2,0.098386354212,5.6371228580,131.6504532275,0.4977308839,0.4165235904,0.9142544743,True,,0.9142544743,20.9142544743,"[0.9368466868, 5.5234146627]",4.5865679760,,,,,,17865.2096080623,6.4365172382,1800.0000000000,17919.7799410513,11.8228843614,1799.1498896835
final_population_candidate,standard,directed_de_population,20250822,3,2,0.091646427672,5.2509535131,124.4325465406,0.6515300890,0.3492520801,1.0007821690,True,,1.0007821690,21.0007821690,"[1.0180167977, 5.6045424895]",4.5865256918,,,,,,17880.7313236374,7.4195214074,1800.0000000000,17924.0072723375,11.3967487503,1799.4023126244
final_population_candidate,standard,directed_de_population,20250822,4,2,0.091493185942,5.2421734087,124.2459185438,0.6561705447,0.3467842619,1.0029548067,True,,1.0029548067,21.0029548067,"[1.0209371581, 5.6074307290]",4.5864935709,,,,,,17881.1855206802,7.4487179614,1800.0000000000,17924.0918368727,11.3853441652,1799.4107293108
final_population_candidate,standard,directed_de_population,20250822,5,2,0.111094755439,6.3652606127,136.2760496479,0.1755109293,0.6142867965,0.7897977258,True,,0.7897977258,20.7897977258,"[0.9256509304, 5.5116568652]",4.5860059348,,,,,,17823.7704897383,2.6516948428,1800.0000000000,17906.9670066236,11.9326047944,1798.1509934851
final_population_candidate,standard,directed_de_population,20250822,6,2,0.116178406171,6.6565323442,123.9857924555,0.1037289228,0.7256124370,0.8293413598,True,,0.8293413598,20.8293413598,"[0.9150995711, 5.5007808120]",4.5856812409,,,,,,17812.7742156965,1.4908013881,1800.0000000000,17902.1333792614,11.9193684521,1797.4200842973
final_population_candidate,standard,directed_de_population,20250822,7,2,0.096793945567,5.5458845634,131.3143169592,0.5043345736,0.3906214473,0.8949560210,True,,0.8949560210,20.8949560210,"[1.0772864874, 5.6625705452]",4.5852840577,,,,,,17865.9163526155,6.4003046392,1800.0000000000,17916.9704393436,11.3575223124,1799.2523329359
final_population_candidate,standard,directed_de_population,20250822,8,2,0.097730288587,5.5995330666,111.9097660540,0.5350758309,0.5085234315,1.0435992624,True,,1.0435992624,21.0435992624,"[1.0720863877, 5.6573173567]",4.5852309690,,,,,,17859.5944743737,5.8427989662,1800.0000000000,17916.2316552370,11.3956571007,1798.7328792061
final_population_candidate,standard,directed_de_population,20250822,9,2,0.104756650858,6.0021139701,136.2144766827,0.2059155613,0.6277844179,0.8336999792,True,,0.8336999792,20.8336999792,"[0.8337224766, 5.4189298796]",4.5852074030,,,,,,17827.8949186218,2.9329146667,1800.0000000000,17912.9394637812,11.8746290055,1798.0688449505
final_population_candidate,standard,directed_de_population,20250822,10,2,0.096487681949,5.5283369507,117.2972590305,0.5502900089,0.4544291911,1.0047191999,True,,1.0047191999,21.0047191999,"[1.0827334128, 5.6679358052]",4.5852023924,,,,,,17864.2472781947,6.2183803757,1800.0000000000,17917.3026457050,11.3535155194,1798.9881211406
region_center,standard,coarse_lhs,20250818,6090,3,0.023218824442,1.3303406458,74.6707316293,0.7803541183,0.5036245134,1.2839786316,True,,1.2839786316,21.2839786316,"[3.4126487490, 7.0693971536]",3.6567484045,23.514295,22,1724,True,Optimization terminated successfully.,17858.2539066695,1.3528303506,1800.0000000000,17895.8497810462,2.2259192613,1798.7571755126
directed_de_best,standard,directed_de_best,20250823,0,3,0.103055157891,5.9046256042,128.2985312861,0.3019678249,0.5885570364,0.8905248613,True,,0.8905248613,20.8905248613,"[0.9088444690, 5.4951078549]",4.5862633860,23.514295,22,1724,True,Optimization terminated successfully.,17838.5364831845,3.9855025235,1800.0000000000,17913.6468640565,11.7535339516,1798.3026430129
final_population_candidate,standard,directed_de_population,20250823,1,3,0.103055157891,5.9046256042,128.2985312861,0.3019678249,0.5885570364,0.8905248613,True,,0.8905248613,20.8905248613,"[0.9088444690, 5.4951078549]",4.5862633860,,,,,,17838.5364831845,3.9855025235,1800.0000000000,17913.6468640565,11.7535339516,1798.3026430129
final_population_candidate,standard,directed_de_population,20250823,2,3,0.092564552915,5.3035582145,133.3383551246,0.5304327378,0.3962023217,0.9266350594,True,,0.9266350594,20.9266350594,"[0.9667275546, 5.5522613257]",4.5855337711,,,,,,17870.4242435040,6.5374707329,1800.0000000000,17923.0270464449,11.4205801223,1799.2308162295
final_population_candidate,standard,directed_de_population,20250823,3,3,0.105787620453,6.0611841767,125.4139123660,0.3014815943,0.5770170213,0.8784986155,True,,0.8784986155,20.8784986155,"[1.0106177725, 5.5959947004]",4.5853769279,,,,,,17837.5986173035,3.9923722867,1800.0000000000,17909.5600324389,11.6335245446,1798.3685516502
final_population_candidate,standard,directed_de_population,20250823,4,3,0.097661973897,5.5956189232,126.7918147647,0.4323803474,0.4825132335,0.9148935809,True,,0.9148935809,20.9148935809,"[1.0580656576, 5.6430053832]",4.5849397256,,,,,,17854.5610529607,5.3455459714,1800.0000000000,17915.4482562006,11.3108880299,1798.8591867994
final_population_candidate,standard,directed_de_population,20250823,5,3,0.090692128385,5.1962761915,132.3404095719,0.5962389583,0.3358725184,0.9321114767,True,,0.9321114767,20.9321114767,"[1.0523911311, 5.6369932521]",4.5846021210,,,,,,17878.5822248435,7.1463931523,1800.0000000000,17922.8490567723,11.1720896149,1799.4472292919
final_population_candidate,standard,directed_de_population,20250823,6,3,0.101578734530,5.8200327768,139.0772945327,0.4687627202,0.3884111176,0.8571738378,True,,0.8571738378,20.8571738378,"[0.9038489734, 5.4879412093]",4.5840922359,,,,,,17864.8581950690,6.6109668815,1800.0000000000,17918.5989106744,12.0887340422,1799.2607703382
final_population_candidate,standard,directed_de_population,20250823,7,3,0.095534320993,5.4737133915,123.8185057555,0.5686878959,0.3625214604,0.9312093563,True,,0.9312093563,20.9312093563,"[1.2160157558, 5.7994287759]",4.5834130201,,,,,,17870.0930019603,6.7167339029,1800.0000000000,17914.7751863686,10.9984501153,1799.3560331347
final_population_candidate,standard,directed_de_population,20250823,8,3,0.098579664199,5.6481987044,136.5508237123,0.4713031187,0.3462756850,0.8175788037,True,,0.8175788037,20.8175788037,"[1.2385384713, 5.8212732255]",4.5827347542,,,,,,17864.0443739985,6.3340040329,1800.0000000000,17911.0990371218,10.9877215632,1799.4124564349
final_population_candidate,standard,directed_de_population,20250823,9,3,0.093741826237,5.3710110072,133.9776030092,0.7984237587,0.1042480184,0.9026717771,True,,0.9026717771,20.9026717771,"[1.1410574644, 5.7237821481]",4.5827246837,,,,,,17906.5012404519,10.0129677246,1800.0000000000,17920.4068177330,11.3203336850,1799.9467485182
final_population_candidate,standard,directed_de_population,20250823,10,3,0.100144844557,5.7378769331,131.4247400191,0.4966943788,0.3542716309,0.8509660096,True,,0.8509660096,20.8509660096,"[1.2144869896, 5.7959463435]",4.5814593540,,,,,,17864.9508672319,6.5263265917,1800.0000000000,17911.2776441048,11.1812863897,1799.3850088967
region_center,standard,coarse_lhs,20250818,1509,4,3.116099035613,178.5393232854,98.3953637751,0.8550173393,2.9136455083,3.7686628476,True,,3.7686628476,23.7686628476,"[5.5910840569, 8.6218794199]",3.0307953630,25.790972,24,1864,True,Optimization terminated successfully.,17715.8975953734,2.1445391908,1800.0000000000,17429.3015438082,9.4524927179,1758.4022822754
directed_de_best,standard,directed_de_best,20250824,0,4,0.101416161590,5.8107180335,129.5911754125,0.3466481141,0.5308935601,0.8775416742,True,,0.8775416742,20.8775416742,"[1.0065835680, 5.5921109807]",4.5855274127,25.790972,24,1864,True,Optimization terminated successfully.,17844.6917150177,4.5480655393,1800.0000000000,17913.1373309730,11.5134538024,1798.6189449366
final_population_candidate,standard,directed_de_population,20250824,1,4,0.101416161590,5.8107180335,129.5911754125,0.3466481141,0.5308935601,0.8775416742,True,,0.8775416742,20.8775416742,"[1.0065835680, 5.5921109807]",4.5855274127,,,,,,17844.6917150177,4.5480655393,1800.0000000000,17913.1373309730,11.5134538024,1798.6189449366
final_population_candidate,standard,directed_de_population,20250824,2,4,0.100988197819,5.7861975157,120.0490428577,0.3998986731,0.5426838933,0.9425825664,True,,0.9425825664,20.9425825664,"[1.0575410278, 5.6426462116]",4.5851051838,,,,,,17847.7628561395,4.8399495578,1800.0000000000,17912.5796071532,11.4080200370,1798.5569215406
final_population_candidate,standard,directed_de_population,20250824,3,4,0.098822175245,5.6620935638,120.6206101010,0.4659295278,0.4847511144,0.9506806422,True,,0.9506806422,20.9506806422,"[1.0983838165, 5.6832030648]",4.5848192483,,,,,,17855.9265041228,5.5448405295,1800.0000000000,17914.1122029869,11.3136692157,1798.8485801498
final_population_candidate,standard,directed_de_population,20250824,4,4,0.098824174728,5.6622081258,120.6874357273,0.5054369836,0.4488888812,0.9543258648,True,,0.9543258648,20.9543258648,"[1.1099309507, 5.6941657220]",4.5842347713,,,,,,17860.7022666964,6.0184566976,1800.0000000000,17914.6131863004,11.3635706913,1799.0126439843
final_population_candidate,standard,directed_de_population,20250824,5,4,0.096601602008,5.5348640893,127.4011555261,0.4185035235,0.5034731611,0.9219766846,True,,0.9219766846,20.9219766846,"[1.0148704602, 5.5990604578]",4.5841899976,,,,,,17853.0692483612,5.1425810014,1800.0000000000,17916.9132561930,11.3292708806,1798.7579224024
final_population_candidate,standard,directed_de_population,20250824,6,4,0.104782925984,6.0036194239,99.1586974446,0.4439770609,0.6450657864,1.0890428473,True,,1.0890428473,21.0890428473,"[1.1474284347, 5.7308976459]",4.5834692112,,,,,,17843.7827271647,4.6045464212,1800.0000000000,17907.3957869742,11.2946113362,1797.9610616430
final_population_candidate,standard,directed_de_population,20250824,7,4,0.110211246859,6.3146392999,90.8097541104,0.3785409385,0.7503795068,1.1289204453,True,,1.1289204453,21.1289204453,"[1.1522738235, 5.7354253658]",4.5831515422,,,,,,17834.1666512108,3.7808697768,1800.0000000000,17901.8950057390,11.2756660062,1797.2409599192
final_population_candidate,standard,directed_de_population,20250824,8,4,0.096559327731,5.5324419516,121.5068653349,0.4508063038,0.4875569418,0.9383632456,True,,0.9383632456,20.9383632456,"[1.1580069626, 5.7411190463]",4.5831120837,,,,,,17854.5209013058,5.2809243797,1800.0000000000,17913.4864563207,10.9923603535,1798.8352123196
final_population_candidate,standard,directed_de_population,20250824,9,4,0.092105649448,5.2772649827,105.9918024972,0.6170772947,0.4953209175,1.1123982122,True,,1.1123982122,21.1123982122,"[1.1921379681, 5.7751274795]",4.5829895114,,,,,,17865.1279002073,6.0156683831,1800.0000000000,17917.4053240561,10.8443768905,1798.7978202247
final_population_candidate,standard,directed_de_population,20250824,10,4,0.103257133914,5.9161979779,124.0455871116,0.2774654771,0.6025804200,0.8800458971,True,,0.8800458971,20.8800458971,"[1.0720480391, 5.6549225407]",4.5828745016,,,,,,17834.2350460459,3.5476300246,1800.0000000000,17908.5843620000,11.2521286612,1798.2207945036
region_center,standard,coarse_lhs,20250818,3305,5,0.180290880990,10.3299065654,82.1268869672,0.1580508599,0.1845284618,0.3425793216,True,,0.3425793216,20.3425793216,"[3.6120982426, 7.3042939282]",3.6921956856,22.472958,20,1592,True,Optimization terminated successfully.,17812.7698360960,2.3275587641,1800.0000000000,17827.6789496175,5.0450437483,1799.8331513093
directed_de_best,standard,directed_de_best,20250825,0,5,0.094636112131,5.4222498146,136.5742406073,0.6404539057,0.2749542625,0.9154081682,True,,0.9154081682,20.9154081682,"[0.9325370610, 5.5192374797]",4.5867004187,22.472958,20,1592,True,Optimization terminated successfully.,17887.0781098860,8.2654235436,1800.0000000000,17924.4617486953,11.8138653824,1799.6295607523
final_population_candidate,standard,directed_de_population,20250825,1,5,0.094636112131,5.4222498146,136.5742406073,0.6404539057,0.2749542625,0.9154081682,True,,0.9154081682,20.9154081682,"[0.9325370610, 5.5192374797]",4.5867004187,,,,,,17887.0781098860,8.2654235436,1800.0000000000,17924.4617486953,11.8138653824,1799.6295607523
final_population_candidate,standard,directed_de_population,20250825,2,5,0.095344086628,5.4628137653,136.2433672219,0.5210434541,0.3675835302,0.8886269844,True,,0.8886269844,20.8886269844,"[0.9931711086, 5.5797169330]",4.5865458244,,,,,,17870.6662977428,6.7581042054,1800.0000000000,17920.5196583132,11.5257829502,1799.3379235067
final_population_candidate,standard,directed_de_population,20250825,3,5,0.090001481934,5.1567050647,139.7664039908,0.6335330948,0.2752332072,0.9087663020,True,,0.9087663020,20.9087663020,"[0.9605264585, 5.5466783545]",4.5861518960,,,,,,17888.1882587770,7.9585744511,1800.0000000000,17926.5009175781,11.4161112221,1799.6288087401
final_population_candidate,standard,directed_de_population,20250825,4,5,0.087346820446,5.0046041654,132.6247747432,0.7604302910,0.2130462991,0.9734765901,True,,0.9734765901,20.9734765901,"[1.0054450452, 5.5913082733]",4.5858632281,,,,,,17900.4674174865,8.7978952818,1800.0000000000,17928.6149173027,11.2627616238,1799.7775952447
final_population_candidate,standard,directed_de_population,20250825,5,5,0.096741339612,5.5428704642,138.6528025398,0.6053401591,0.2887656332,0.8941057923,True,,0.8941057923,20.8941057923,"[0.9080717374, 5.4936750897]",4.5856033523,,,,,,17883.5396602111,8.1070454067,1800.0000000000,17923.3906142866,11.9743521850,1799.5914106044
final_population_candidate,standard,directed_de_population,20250825,6,5,0.092236807765,5.2847798007,138.5746694483,0.6309631756,0.2473890984,0.8783522739,True,,0.8783522739,20.8783522739,"[1.0908939967, 5.6763561879]",4.5854621912,,,,,,17887.0638426603,8.0533421642,1800.0000000000,17921.1999798728,11.2109100447,1799.7001133066
final_population_candidate,standard,directed_de_population,20250825,7,5,0.101491249942,5.8150202792,122.2374472927,0.4063647496,0.5243724626,0.9307372122,True,,0.9307372122,20.9307372122,"[1.0356707041, 5.6210713070]",4.5854006029,,,,,,17849.4173815216,5.0327235094,1800.0000000000,17913.1854964152,11.5269423671,1798.6526642503
final_population_candidate,standard,directed_de_population,20250825,8,5,0.093036089241,5.3305752559,120.4835612806,0.7364707091,0.2952457797,1.0317164888,True,,1.0317164888,21.0317164888,"[1.0410241139, 5.6257640253]",4.5847399115,,,,,,17888.3488686709,8.2434312267,1800.0000000000,17923.7672910069,11.5481631727,1799.5728666550
final_population_candidate,standard,directed_de_population,20250825,9,5,0.091982299178,5.2701975328,116.0063243610,0.7310674874,0.3212256073,1.0522930947,True,,1.0522930947,21.0522930947,"[1.1370588859, 5.7215581051]",4.5844992192,,,,,,17884.4499336832,7.7898808617,1800.0000000000,17921.5566053660,11.2126964754,1799.4943891352
final_population_candidate,standard,directed_de_population,20250825,10,5,0.086910676954,4.9796149841,115.9637007009,0.7923611460,0.2890491120,1.0814102580,True,,1.0814102580,21.0814102580,"[1.1621941114, 5.7466089746]",4.5844148632,,,,,,17891.5383235700,7.9757493048,1800.0000000000,17924.9310148585,10.8852600314,1799.5906079933
region_center,standard,coarse_lhs,20250818,2855,6,0.093491597349,5.3566739481,95.8292522504,0.3158023709,1.0387592267,1.3545615976,True,,1.3545615976,21.3545615976,"[1.3545615976, 4.6973622464]",3.3428006488,19.816294,18,1450,True,Optimization terminated successfully.,17830.1309413301,2.8252260998,1800.0000000000,17929.2397391117,12.1181572147,1794.7127984179
directed_de_best,standard,directed_de_best,20250826,0,6,0.105536320638,6.0467857579,136.6956352321,0.2919226083,0.5364921927,0.8284148010,True,,0.8284148010,20.8284148010,"[0.9144068841, 5.5008993910]",4.5864925069,19.816294,18,1450,True,Optimization terminated successfully.,17839.6825258396,4.2035656902,1800.0000000000,17912.6106399949,11.9288329718,1798.5896630230
final_population_candidate,standard,directed_de_population,20250826,1,6,0.105536320638,6.0467857579,136.6956352321,0.2919226083,0.5364921927,0.8284148010,True,,0.8284148010,20.8284148010,"[0.9144068841, 5.5008993910]",4.5864925069,,,,,,17839.6825258396,4.2035656902,1800.0000000000,17912.6106399949,11.9288329718,1798.5896630230
final_population_candidate,standard,directed_de_population,20250826,2,6,0.113448091479,6.5000968356,122.7310571753,0.2144288475,0.6564398261,0.8708686735,True,,0.8708686735,20.8708686735,"[0.9082615823, 5.4933431783]",4.5850815960,,,,,,17826.1479041207,2.9792221281,1800.0000000000,17906.1955555238,12.0996370285,1797.8885250983
final_population_candidate,standard,directed_de_population,20250826,3,6,0.106885564705,6.1240917485,119.0168410048,0.2671100965,0.6429580487,0.9100681452,True,,0.9100681452,20.9100681452,"[1.0088524302, 5.5938060105]",4.5849535803,,,,,,17831.6091764676,3.3914899100,1800.0000000000,17907.6953098379,11.5551114419,1797.9743642431
final_population_candidate,standard,directed_de_population,20250826,4,6,0.106397428621,6.0961236110,120.6901807838,0.2582426297,0.6400833756,0.8983260052,True,,0.8983260052,20.8983260052,"[1.0112716977, 5.5958895523]",4.5846178546,,,,,,17830.9911023893,3.3098727491,1800.0000000000,17907.8060320354,11.5137642778,1797.9924370344
final_population_candidate,standard,directed_de_population,20250826,5,6,0.100272654093,5.7451998801,115.0915606230,0.3955307382,0.5850347531,0.9805654913,True,,0.9805654913,20.9805654913,"[1.0625194657, 5.6467425592]",4.5842230936,,,,,,17845.2935874969,4.5569913955,1800.0000000000,17912.2879326128,11.2972977194,1798.3228982546
final_population_candidate,standard,directed_de_population,20250826,6,6,0.114314329159,6.5497285987,119.7615779301,0.2301648976,0.6615411703,0.8917060679,True,,0.8917060679,20.8917060679,"[0.9014402398, 5.4855243631]",4.5840841233,,,,,,17827.3850014580,3.1442059329,1800.0000000000,17906.0951180152,12.1812993154,1797.8555800719
final_population_candidate,standard,directed_de_population,20250826,7,6,0.122636739346,7.0265675778,107.3691409876,0.1401465361,0.7793769794,0.9195235155,True,,0.9195235155,20.9195235155,"[0.9442351498, 5.5282608294]",4.5840256795,,,,,,17814.9344001256,1.8407435210,1800.0000000000,17897.9869534198,12.0774084082,1797.0236004677
final_population_candidate,standard,directed_de_population,20250826,8,6,0.127376599135,7.2981415392,107.9258677179,0.0181162696,0.8386570927,0.8567733622,True,,0.8567733622,20.8567733622,"[1.0075613930, 5.5912496463]",4.5836882534,,,,,,17801.9393740721,0.2483756103,1800.0000000000,17891.7188848646,11.7464363041,1796.5536059766
final_population_candidate,standard,directed_de_population,20250826,9,6,0.092532652334,5.3017304459,116.5623547968,0.5847062285,0.4311033586,1.0158095871,True,,1.0158095871,21.0158095871,"[1.1663387486, 5.7500068932]",4.5836681446,,,,,,17867.8631626271,6.2975425006,1800.0000000000,17917.8986093320,10.9407147307,1799.0893344816
final_population_candidate,standard,directed_de_population,20250826,10,6,0.102145643846,5.8525142880,111.8046351649,0.3485652648,0.6442237013,0.9927889661,True,,0.9927889661,20.9927889661,"[1.0405019086, 5.6237462946]",4.5832443860,,,,,,17838.7680813678,3.9738208496,1800.0000000000,17910.4198476087,11.3182978665,1797.9663815309
