profile,seed,generation,best_duration_s
standard,20250842,53,9.895819091796879
standard,20250842,54,9.899279785156256
standard,20250842,55,9.899279785156256
standard,20250842,56,9.899279785156256
standard,20250842,57,9.899279785156256
standard,20250842,58,9.899279785156256
standard,20250842,59,9.899279785156256
standard,20250842,60,9.899279785156256
standard,20250842,61,9.899279785156256
standard,20250842,62,9.901080322265617
standard,20250842,63,9.901080322265617
standard,20250842,64,9.901080322265617
standard,20250842,65,9.901080322265617
standard,20250842,66,9.901080322265617
standard,20250842,67,9.901080322265617
standard,20250842,68,9.901080322265617
standard,20250842,69,9.901080322265617
standard,20250842,70,9.902990722656249
standard,20250842,71,9.902990722656249
standard,20250842,72,9.902990722656249
standard,20250842,73,9.902990722656249
standard,20250842,74,9.903869628906262
standard,20250842,75,9.903869628906262
standard,20250842,76,9.905364990234382
standard,20250842,77,9.905364990234382
standard,20250842,78,9.905364990234382
standard,20250842,79,9.905364990234382
standard,20250842,80,9.909753417968759
standard,20250842,81,9.909753417968759
standard,20250842,82,9.909753417968759
standard,20250842,83,9.913891601562494
standard,20250842,84,9.913891601562494
standard,20250842,85,9.914843750000017
standard,20250842,86,9.920385742187522
standard,20250842,87,9.92698974609375
standard,20250842,88,9.930108642578137
standard,20250842,89,9.932635498046889
standard,20250842,90,9.932635498046889
standard,20250843,1,9.82149658203127
standard,20250843,2,9.826837158203126
standard,20250843,3,9.827795410156257
standard,20250843,4,9.831066894531254
standard,20250843,5,9.842425537109378
standard,20250843,6,9.844622802734392
standard,20250843,7,9.844921875
standard,20250843,8,9.844921875
standard,20250843,9,9.84503173828127
standard,20250843,10,9.84503173828127
standard,20250843,11,9.846612548828128
standard,20250843,12,9.846612548828128
standard,20250843,13,9.846612548828128
standard,20250843,14,9.846612548828128
standard,20250843,15,9.846612548828128
standard,20250843,16,9.846612548828128
standard,20250843,17,9.84715576171876
standard,20250843,18,9.847503662109393
standard,20250843,19,9.84758300781251
standard,20250843,20,9.84758300781251
standard,20250843,21,9.848156738281261
standard,20250843,22,9.850122070312498
standard,20250843,23,9.850122070312498
standard,20250843,24,9.850274658203134
standard,20250843,25,9.850830078125004
standard,20250843,26,9.851440429687518
standard,20250843,27,9.851440429687518
standard,20250843,28,9.852478027343748
standard,20250843,29,9.853546142578125
standard,20250843,30,9.853546142578125
standard,20250843,31,9.853710937500011
standard,20250843,32,9.854272460937523
standard,20250843,33,9.854272460937523
standard,20250843,34,9.854272460937523
standard,20250843,35,9.854272460937523
standard,20250843,36,9.854272460937523
standard,20250843,37,9.854272460937523
standard,20250843,38,9.854272460937523
standard,20250843,39,9.854571533203126
standard,20250843,40,9.854571533203126
standard,20250843,41,9.854571533203126
standard,20250843,42,9.855456542968764
standard,20250843,43,9.855712890625009
standard,20250843,44,9.857666015625004
standard,20250843,45,9.85831909179689
standard,20250843,46,9.8589111328125
standard,20250843,47,9.859472656250004
standard,20250843,48,9.860455322265627
standard,20250843,49,9.860455322265627
standard,20250843,50,9.860455322265627
standard,20250843,51,9.86047363281248
standard,20250843,52,9.860742187500001
standard,20250843,53,9.860742187500001
standard,20250843,54,9.861859130859372
standard,20250843,55,9.861859130859372
standard,20250843,56,9.86193237304688
standard,20250843,57,9.863079833984367
standard,20250843,58,9.863751220703136
standard,20250843,59,9.866101074218756
standard,20250843,60,9.866101074218756
standard,20250843,61,9.867065429687507
standard,20250843,62,9.867260742187508
standard,20250843,63,9.868463134765646
standard,20250843,64,9.869689941406262
standard,20250843,65,9.871252441406256
standard,20250843,66,9.871252441406256
standard,20250843,67,9.871252441406256
standard,20250843,68,9.874981689453133
standard,20250843,69,9.874981689453133
standard,20250843,70,9.874981689453133
standard,20250843,71,9.874981689453133
standard,20250843,72,9.874981689453133
standard,20250843,73,9.874981689453133
standard,20250843,74,9.875030517578118
standard,20250843,75,9.875030517578118
standard,20250843,76,9.875030517578118
standard,20250843,77,9.875656127929684
standard,20250843,78,9.877526855468759
standard,20250843,79,9.877526855468759
standard,20250843,80,9.877655029296879
standard,20250843,81,9.877655029296879
standard,20250843,82,9.877655029296879
standard,20250843,83,9.877655029296879
standard,20250843,84,9.877655029296879
standard,20250843,85,9.877655029296879
standard,20250843,86,9.879174804687498
standard,20250843,87,9.880657958984393
standard,20250843,88,9.880657958984393
standard,20250843,89,9.880657958984393
standard,20250843,90,9.880657958984393
